segment,bin,golden_i,golden_q
0,1232,16,-15
0,1233,17,-14
0,1234,17,-14
0,1235,18,-13
0,1236,18,-12
0,1237,19,-12
0,1238,19,-11
0,1239,19,-11
0,1240,20,-10
0,1241,20,-9
0,1242,20,-9
0,1243,21,-8
0,1244,21,-8
0,1245,21,-7
0,1246,21,-6
0,1247,21,-5
0,1248,22,-5
0,1249,22,-4
0,1250,22,-3
0,1251,22,-3
0,1252,22,-2
0,1253,22,-1
0,1254,22,-1
0,1255,22,0
0,1256,22,1
0,1257,22,1
0,1258,22,2
0,1259,22,3
0,1260,22,3
0,1261,21,4
0,1262,21,5
0,1263,21,5
0,1264,21,6
0,1265,21,7
0,1266,20,7
0,1267,20,8
0,1268,20,9
0,1269,19,9
0,1270,19,10
0,1271,19,11
0,1272,18,11
0,1273,18,12
0,1274,17,12
0,1275,17,13
0,1276,17,13
0,1277,16,14
0,1278,16,15
0,1279,15,15
0,1280,15,16
0,1281,14,16
0,1282,14,17
0,1283,13,17
0,1284,13,18
0,1285,12,18
0,1286,11,18
0,1287,11,19
0,1288,10,19
0,1289,10,20
0,1290,9,20
0,1291,8,20
0,1292,8,21
0,1293,7,21
0,1294,6,21
0,1295,6,21
0,1296,5,21
0,1297,4,22
0,1298,4,22
0,1299,3,22
0,1300,2,22
0,1301,2,22
0,1302,1,22
0,1303,0,22
0,1304,-1,22
0,1305,-1,22
0,1306,-2,22
0,1307,-3,22
0,1308,-3,22
0,1309,-4,22
0,1310,-5,22
0,1311,-5,22
0,1312,-6,22
0,1313,-7,22
0,1314,-7,21
0,1315,-8,21
0,1316,-8,21
0,1317,-9,21
0,1318,-10,20
0,1319,-10,20
0,1320,-11,20
0,1321,-12,19
0,1322,-12,19
0,1323,-13,18
0,1324,-14,18
0,1325,-14,17
0,1326,-15,17
0,1327,-15,17
0,1328,-16,16
0,1329,-16,16
0,1330,-17,15
0,1331,-17,15
0,1332,-18,14
0,1333,-18,14
0,1334,-19,13
0,1335,-19,13
0,1336,-20,12
0,1337,-20,12
0,1338,-20,11
0,1339,-21,11
0,1340,-21,10
0,1341,-22,9
0,1342,-22,9
0,1343,-22,8
0,1344,-23,8
0,1345,-23,7
0,1346,-23,6
0,1347,-23,6
0,1348,-24,5
0,1349,-24,5
0,1350,-24,4
0,1351,-24,3
0,1352,-24,2
0,1353,-24,2
0,1354,-24,1
0,1355,-25,0
0,1356,-24,0
0,1357,-24,-1
0,1358,-24,-2
0,1359,-24,-2
