cycle,range_bin,doppler_bin,output_hex
1491015000,15,9,fcb100ae
1491025000,15,10,02230010
1491035000,15,11,012bff2f
1491045000,15,12,ff0d000b
1491055000,15,13,ff560004
1491065000,15,14,0110003a
1491075000,15,15,ff75ff9d
1492955000,15,16,fdccfe7b
1492965000,15,17,02650159
1492975000,15,18,fd630011
1492985000,15,19,0287fea9
1492995000,15,20,ff200104
1493005000,15,21,ff880135
1493015000,15,22,ffafff9b
1493025000,15,23,022f002a
1493035000,15,24,fd2efcfb
1493045000,15,25,01c90297
1493055000,15,26,ffd90041
1493065000,15,27,fe7100f3
1493075000,15,28,0022fe5e
1493085000,15,29,019600ff
1493095000,15,30,fe11feab
1493105000,15,31,02b50156
1494985000,16,0,0084feeb
1494995000,16,1,00af0075
1495005000,16,2,ffbcff59
1495015000,16,3,ffda0121
1495025000,16,4,0072fed7
1495035000,16,5,ff290209
1495045000,16,6,0070fed3
1495055000,16,7,00f7fe3b
1495065000,16,8,00d002b7
1495075000,16,9,fd2dfe87
1495085000,16,10,01ecffc7
1495095000,16,11,fe76ff6d
1495105000,16,12,024a0297
1495115000,16,13,fda7fd23
1495125000,16,14,01f8006d
1495135000,16,15,fded019f
1497015000,16,16,ff1effb4
1497025000,16,17,00a2fdfe
1497035000,16,18,ffd70147
1497045000,16,19,ff6f0085
1497055000,16,20,00b9ff39
1497065000,16,21,ff6cffda
1497075000,16,22,005d01cc
1497085000,16,23,ff7efe7b
1497095000,16,24,00c8ffb8
1497105000,16,25,003c00b8
1497115000,16,26,feed0017
1497125000,16,27,fd63ff39
1497135000,16,28,034dff73
1497145000,16,29,fdae007c
1497155000,16,30,021bfe8e
1497165000,16,31,ff9001eb
1499045000,17,0,01b6fee6
1499055000,17,1,ffaa012d
1499065000,17,2,ff33fdd7
1499075000,17,3,00f4021a
1499085000,17,4,fef10023
1499095000,17,5,011cff6e
1499105000,17,6,ff100002
1499115000,17,7,0180ff22
1499125000,17,8,ff64016e
1499135000,17,9,fef0fe91
1499145000,17,10,01990139
1499155000,17,11,fd24fff4
1499165000,17,12,0525ff25
1499175000,17,13,fb7eff98
1499185000,17,14,020c009a
1499195000,17,15,fe1c00c4
1501075000,17,16,fe2bfea9
1501085000,17,17,02bafede
1501095000,17,18,fe44020c
1501105000,17,19,00c8006f
1501115000,17,20,0162fead
1501125000,17,21,fdd801f3
1501135000,17,22,0028fea3
1501145000,17,23,0124006f
1501155000,17,24,ff43fe57
1501165000,17,25,00e8022a
1501175000,17,26,fe54fe0e
1501185000,17,27,003401df
1501195000,17,28,ffb4fe0b
1501205000,17,29,0056002d
1501215000,17,30,0014fff3
1501225000,17,31,00b80093
1503105000,18,0,feedfdcd
1503115000,18,1,00810033
1503125000,18,2,ff06007d
1503135000,18,3,0291ffd6
1503145000,18,4,fce6ffa3
1503155000,18,5,01700135
1503165000,18,6,fe96fe34
1503175000,18,7,011c019e
1503185000,18,8,0175ffbb
1503195000,18,9,fdb900a9
1503205000,18,10,0034fecb
1503215000,18,11,01f10106
1503225000,18,12,ffd8fe69
1503235000,18,13,fdaa013f
1503245000,18,14,0188fee8
1503255000,18,15,0096023e
1505135000,18,16,00320095
1505145000,18,17,ff81fff8
1505155000,18,18,0093ff8a
1505165000,18,19,ffda025b
1505175000,18,20,002afcf0
1505185000,18,21,008a00a6
1505195000,18,22,fe8cffa1
1505205000,18,23,01f700b3
1505215000,18,24,0016ff91
1505225000,18,25,ff5b0242
1505235000,18,26,fdebfea2
1505245000,18,27,0338ffcf
1505255000,18,28,fc3afd9a
1505265000,18,29,01a20128
1505275000,18,30,01aa0113
1505285000,18,31,ff1ffe1b
1507165000,19,0,01caff5c
1507175000,19,1,ff110096
1507185000,19,2,0009fe58
1507195000,19,3,015000ae
1507205000,19,4,fdb5022d
1507215000,19,5,01a3fda9
1507225000,19,6,ffe10108
1507235000,19,7,008efe93
1507245000,19,8,00160162
1507255000,19,9,fe0bfe6a
1507265000,19,10,023501e6
1507275000,19,11,fd40fe88
1507285000,19,12,03370045
1507295000,19,13,fe390083
1507305000,19,14,fff5feb2
1507315000,19,15,ff0a01e3
1509195000,19,16,ff66fda0
1509205000,19,17,000a0041
1509215000,19,18,fff201ef
1509225000,19,19,ff88fe93
1509235000,19,20,01f7ff00
1509245000,19,21,feb1022c
1509255000,19,22,fecbfce3
1509265000,19,23,018f030f
1509275000,19,24,ff66fc96
1509285000,19,25,010603df
1509295000,19,26,fd7cfdbb
1509305000,19,27,016cff4f
1509315000,19,28,fe31ffbe
1509325000,19,29,00f7ff6c
1509335000,19,30,011b005f
1509345000,19,31,ffbd01c7
1511225000,20,0,01d0fea7
1511235000,20,1,fdbc024a
1511245000,20,2,012ffdbd
1511255000,20,3,007300f0
1511265000,20,4,fe6a0090
1511275000,20,5,02400048
1511285000,20,6,fd9dfe96
1511295000,20,7,01660064
1511305000,20,8,0166007d
1511315000,20,9,fcccff0c
1511325000,20,10,02430389
1511335000,20,11,ff31fae0
1511345000,20,12,0210020c
1511355000,20,13,fcfcff92
1511365000,20,14,00b10114
1511375000,20,15,ffc2ffec
1513255000,20,16,026e01d0
1513265000,20,17,fddafe9c
1513275000,20,18,008aff8c
1513285000,20,19,00290228
1513295000,20,20,009cfd62
1513305000,20,21,ff0d00e6
1513315000,20,22,003100d1
1513325000,20,23,004bfeb7
1513335000,20,24,ffdc0042
1513345000,20,25,00b400d8
1513355000,20,26,fde0005a
1513365000,20,27,ffb90030
1513375000,20,28,005afd30
1513385000,20,29,ff550012
1513395000,20,30,015d0215
1513405000,20,31,fe8bfe05
1515285000,21,0,ffb1ff98
1515295000,21,1,001300da
1515305000,21,2,ffd1feff
1515315000,21,3,00a20078
1515325000,21,4,fed80008
1515335000,21,5,0072010a
1515345000,21,6,00eeffac
1515355000,21,7,fed3fe0d
1515365000,21,8,02050106
1515375000,21,9,fd890130
1515385000,21,10,0147ff7f
1515395000,21,11,fe5eff42
1515405000,21,12,044eff96
1515415000,21,13,fb8e00dc
1515425000,21,14,015e0002
1515435000,21,15,0051ffe1
1517315000,21,16,0057fe76
1517325000,21,17,ff49ffef
1517335000,21,18,0189ff5b
1517345000,21,19,feaeffc3
1517355000,21,20,0071ff82
1517365000,21,21,01bc01c6
1517375000,21,22,fe77018f
1517385000,21,23,0093fbe6
1517395000,21,24,008301d6
1517405000,21,25,fe850125
1517415000,21,26,00d3fee7
1517425000,21,27,fe94ff27
1517435000,21,28,015d00aa
1517445000,21,29,ff6efdea
1517455000,21,30,01d5027f
1517465000,21,31,fe3300a4
1519345000,22,0,006bffc4
1519355000,22,1,00670040
1519365000,22,2,febeff22
1519375000,22,3,02100156
1519385000,22,4,ff48ffb2
1519395000,22,5,ff3bff64
1519405000,22,6,005c011a
1519415000,22,7,00dbfd46
1519425000,22,8,0097026e
1519435000,22,9,fd3dfefe
1519445000,22,10,018e00c2
1519455000,22,11,ff66ff1a
1519465000,22,12,01e6ff9c
1519475000,22,13,fca501fa
1519485000,22,14,0318fe52
1519495000,22,15,fe3b00de
1521375000,22,16,0099ffd8
1521385000,22,17,ff680141
1521395000,22,18,0130feed
1521405000,22,19,fe2100b1
1521415000,22,20,02b6ff03
1521425000,22,21,feeb006d
1521435000,22,22,008600bf
1521445000,22,23,ff61feff
1521455000,22,24,00e7ff60
1521465000,22,25,ffd8029d
1521475000,22,26,fdf8fee9
1521485000,22,27,0141ff1d
1521495000,22,28,ffeaffc1
1521505000,22,29,ff3dfe8d
1521515000,22,30,02a2029f
1521525000,22,31,fe15fe1b
1523405000,23,0,ffacff2b
1523415000,23,1,004500d6
1523425000,23,2,fe8bff3e
1523435000,23,3,035affe4
1523445000,23,4,fd33010e
1523455000,23,5,ffb9ff3a
1523465000,23,6,00880098
1523475000,23,7,018bfe86
1523485000,23,8,ff5601b3
1523495000,23,9,fdb5ff60
1523505000,23,10,032b006a
1523515000,23,11,fd2aff38
1523525000,23,12,02cf009c
1523535000,23,13,fe31ffe8
1523545000,23,14,009effe8
1523555000,23,15,002d0056
1525435000,23,16,0164012c
1525445000,23,17,fde0ffce
1525455000,23,18,010aff61
1525465000,23,19,003a000e
1525475000,23,20,fff9003c
1525485000,23,21,fe5100a3
